"Cost_of_Goods_Sold_EURO","Quantity_units","Number_of_Deliveries","N_Parts","Assembly_Labour_Minutes","Machinery_Minutes","Geographical_Area","Plant","Customer_Class","Turnover_Range_EURO","Product_Line","Product_Type","Total_Cost_of_Distribution","Total_Customer_Order_Management_Costs","Customer_related_Issues_Costs","Total_Operations_Costs"
817.09,95,60,1,0,1,"ITA","Northern Italy","Others","c 100-250","Plugs and Caps","Spare Parts",147.22,92.98,1.12,36.76
313.49,65,29,1,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",64.24,35.54,1.78,24.91
241.15,50,51,1,0,1,"ITA","Northern Italy","Others","c 100-250","Plugs and Caps","Spare Parts",58.11,27.42,0.33,19.16
278.66,20,18,6,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",47.6,32.79,1.81,26.78
125.4,9,64,6,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",29.17,86.52,0.87,12.05
417.99,30,40,6,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",95.91,106.24,1.02,40.18
1532.63,110,68,6,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",315.88,121.38,4.54,147.31
171.91,2,4,1,0,1,"FRA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",14.03,29.96,0.34,17.77
515.73,6,18,1,0,1,"NAM","Northern Italy","Others","e >500","Plugs and Caps","Spare Parts",45.38,45.71,2.31,53.3
149.14,2,4,1,0,1,"NAM","Northern Italy","Others","e >500","Plugs and Caps","Spare Parts",22.73,12.2,0.45,10.34
149.14,2,18,1,0,1,"IAM","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",23.06,20.83,0.25,10.34
410.76,14,51,1,0,1,"FRA","Northern Italy","Nationals","d 250-500","Plugs and Caps","Spare Parts",120.95,102.46,1.18,11.82
528.11,18,64,1,0,1,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",139.56,48.27,48.42,15.2
923.73,35,11,1,0,1,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",126.16,83.39,79.83,15.6
364.44,11,74,1,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",95.14,248.35,1.83,12.8
2608.66,51,10,1,0,1,"NAM","USA","Nationals","e >500","Plugs and Caps","Spare Parts",686.83,542.51,7.3,52
388.11,10,29,1,0,1,"CEU","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",63.94,27.4,0.71,19.55
188.95,2,4,1,0,1,"SCA","Northern Italy","Others","e >500","Plugs and Caps","Spare Parts",25.35,24.76,0.35,14.34
1511.62,16,74,1,0,1,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",114.59,138.45,139.89,114.75
115.13,380,60,1,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",167.92,12.59,0.57,12.48
1131.67,111,68,1,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",213.8,127.08,6.21,56.64
214.1,21,51,1,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",49.53,145.68,1.03,10.72
136.17,7,60,11,0,901,"NAM","USA","Nationals","e >500","Plugs and Caps","Spare Parts",62.06,11.57,0.16,129.52
126.2,6,29,5,0,3640,"NAM","USA","Nationals","e >500","Plugs and Caps","Spare Parts",12.53,16.43,0.22,75.15
787.59,2,18,2,0,3718,"NAM","USA","Nationals","c 100-250","Plugs and Caps","Spare Parts",66.08,50.36,26.84,95.19
3047.04,10,5,1,0,3726,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",181.55,236.63,84.01,778.09
281.1,3,18,8,135,3115,"NAM","USA","Others","c 100-250","Plugs and Caps","Spare Parts",119.25,76.38,1.05,56.1
562.2,6,29,8,135,4444,"NAM","USA","Others","a 0-20","Plugs and Caps","Spare Parts",272.79,199.88,2.76,112.2
354.21,1,4,27,15,1192,"IAM","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",26.09,66,0.4,49
149.35,2,4,12,0,1839,"IAM","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",33.01,21.22,0.27,30.24
1055.61,2,18,36,120,992,"NAM","USA","Others","a 0-20","Plugs and Caps","Spare Parts",177.05,160.89,2.21,203.7
2463.78,28,29,14,750,4002,"CEU","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",161.69,307.53,513.34,969.73
175.98,2,4,14,750,3373,"IAM","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",16.31,26.72,0.45,69.27
228.88,4,4,10,0,1,"CEU","Northern Italy","Nationals","b 20-100","Plugs and Caps","Spare Parts",54.97,30.78,1.06,11.97
1264.69,10,40,20,300,2496,"NAM","USA","Nationals","e >500","Plugs and Caps","Spare Parts",736.78,949.64,12.81,417.45
